Story_No,No_InSeries,Series,Episode,The_Doctor,Companions,Showrunner,Directed_by,Written_by,Original_release_date,UK_viewers_millions,Appreciation_Index,StoryType
297f,6,Thirteen,The Vanquishers,Thirteenth Doctor,"Yasmin Khan, Dan Lewis",Chris Chibnall,Azhur Saleem,Chris Chibnall,05/12/2021,4.64,76,Six-Parter
298,Special,2022 Specials,Eve of the Daleks,Thirteenth Doctor,Yasmin Khan,Chris Chibnall,Annetta Laufer,Chris Chibnall,01/01/2022,4.4,77,Standalone
299,Special,2022 Specials,Legend of the Sea Devils,Thirteenth Doctor,Yasmin Khan,Chris Chibnall,Haolu Wang,"Ella Road, Chris Chibnall",17/04/2022,3.47,76,Standalone
300,Special,2022 Specials,The Power of the Doctor,Thirteenth Doctor,Yasmin Khan,Chris Chibnall,Jamie Magnus Stone,Chris Chibnall,23/10/2022,5.3,82,Standalone
301,Special,2023 Specials,The Star Beast,Fourteenth Doctor,Donna Nobel,Russell T Davies,Rachel Talalay,Russell T Davies,25/11/2023,7.61,84,Standalone
302,Special,2023 Specials,Wild Blue Yonder,Fourteenth Doctor,Donna Nobel,Russell T Davies,Tom Kingsley,Russell T Davies,02/12/2023,7.14,83,Standalone
303,Special,2023 Specials,The Giggle,Fourteenth Doctor,Donna Nobel,Russell T Davies,Chanya Button,Russell T Davies,09/12/2023,6.85,85,Standalone
304,Special,Fourteen,The Church on Ruby Road,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Mark Tonderai,Russell T Davies,25/12/2023,7.49,82,Standalone
305,1,Fourteen,Space Babies,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Julie Anne Robinson,Russell T Davies,11/05/2024,4.01,75,Standalone
306,2,Fourteen,The Devil's Chord,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Ben Chessell,Russell T Davies,11/05/2024,3.91,77,Standalone
307,3,Fourteen,Boom,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Julie Anne Robinson,Steven Moffat,18/05/2024,3.58,78,Standalone
308,4,Fourteen,73 Yards,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Dylan Holmes Williams,Russell T Davies,25/05/2024,4.06,77,Standalone
309,5,Fourteen,Dot and Bubble,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Dylan Holmes Williams,Russell T Davies,01/06/2024,3.38,77,Standalone
310,6,Fourteen,Rogue,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Ben Chessell,"Kate Herron, Briony Redman",08/06/2024,3.52,77,Standalone
311a,7,Fourteen,The Legend of Ruby Sunday,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Jamie Donoughue,Russell T Davies,15/06/2024,3.5,81,Two-Parter
311b,8,Fourteen,Empire of Death,Fifteenth Doctor,Ruby Sunday,Russell T Davies,Jamie Donoughue,Russell T Davies,22/06/2024,3.69,80,Two-Parter
312,Special,Fifteen,Joy to the World,Fifteenth Doctor,Joy Almondo,Russell T Davies,Alex Sanjiv Pillai,Steven Moffat,25/12/2024,5.91,76,Standalone
313,1,Fifteen,The Robot Revolution,Fifteenth Doctor,Belinda Chandra,Russell T Davies,Peter Hoar,Russell T Davies,12/04/2025,3.57,,Standalone
314,2,Fifteen,Lux,Fifteenth Doctor,Belinda Chandra,Russell T Davies,Amanda Brotchie,Russell T Davies,19/04/2025,3.01,,Standalone
315,3,Fifteen,The Well,Fifteenth Doctor,Belinda Chandra,Russell T Davies,Amanda Brotchie,"Russell T Davies, Sharma Angel-Walfall",26/04/2025,3.24,,Standalone
316,4,Fifteen,Lucky Day,Fifteenth Doctor,"Belinda Chandra, Ruby Sunday",Russell T Davies,Peter Hoar,Pete McTighe,03/05/2025,2.8,,Standalone
317,5,Fifteen,The Story & the Engine,Fifteenth Doctor,Belinda Chandra,Russell T Davies,Makalla McPherson,Inua Ellams,10/05/2025,2.7,,Standalone
318,6,Fifteen,The Interstellar Song Contest,Fifteenth Doctor,Belinda Chandra,Russell T Davies,Ben A. Williams,Juno Dawson,17/05/2025,3.75,,Standalone
319a,7,Fifteen,Wish World,Fifteenth Doctor,"Belinda Chandra, Ruby Sunday",Russell T Davies,Alex Sanjiv Pillai,Russell T Davies,24/05/2025,2.86,,Two-Parter
319b,8,Fifteen,The Reality War,Fifteenth Doctor,"Belinda Chandra, Ruby Sunday",Russell T Davies,Alex Sanjiv Pillai,Russell T Davies,31/05/2025,3.44,,Two-Parter
